store_id,category,timestamp,inthanin_total_branches,punthai_total_branches,punthai_gas_station_branches,punthai_outside_station_branches,punthai_franchise_branches,cafe_amazon_total_branches,cafe_amazon_service_station_branches,inthanin_store_type_relevance,punthai_store_type_relevance,coffee_competitor_category_sensitivity,inthanin_branch_index,punthai_branch_index,punthai_gas_station_branch_index,cafe_amazon_station_branch_index,inthanin_pressure_score,punthai_pressure_score,punthai_station_pressure_score,coffee_chain_competition_score,amazon_station_market_anchor_score
1,Coffee,2023-01-01,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
1,Coffee,2023-01-02,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
1,Coffee,2023-01-03,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
1,Coffee,2023-01-04,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
1,Coffee,2023-01-05,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
1,Coffee,2023-01-06,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
1,Coffee,2023-01-07,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
1,Coffee,2023-01-08,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
1,Coffee,2023-01-09,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
1,Coffee,2023-01-10,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
1,Coffee,2023-01-11,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
1,Coffee,2023-01-12,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
1,Coffee,2023-01-13,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
1,Coffee,2023-01-14,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
1,Coffee,2023-01-15,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
1,Coffee,2023-01-16,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
1,Coffee,2023-01-17,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
1,Coffee,2023-01-18,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
1,Coffee,2023-01-19,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
1,Coffee,2023-01-20,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
1,Coffee,2023-01-21,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
1,Coffee,2023-01-22,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
1,Coffee,2023-01-23,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
1,Coffee,2023-01-24,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
1,Coffee,2023-01-25,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
1,Coffee,2023-01-26,1000,882,441,265,176,4200,2200,0.3,0.25,1.0,1.0,0.882,0.63,1.0,0.3,0.2205,0.1575,0.5205,1.0
