store_id,category,timestamp,kaggle_event_type_category_lift_max,kaggle_event_type_category_obs_max,kaggle_event_type_store_category_lift_max,kaggle_event_type_store_category_obs_max
1,Bakery,2023-01-05,1.0,0,1.0,0
1,Bakery,2023-02-09,0.9263063063063063,4,0.9263063063063063,0
1,Bakery,2023-03-14,1.3029595015576323,16,1.6810344827586206,2
1,Bakery,2023-03-23,1.216161616161616,34,1.1859756097560976,8
1,Bakery,2023-04-05,1.2828947368421053,28,1.9060606060606062,2
1,Bakery,2023-04-14,1.318609022556391,32,1.9060606060606062,4
1,Bakery,2023-04-23,1.1272727272727272,23,1.2520833333333332,8
1,Bakery,2023-05-01,1.439252336448598,25,1.3418367346938775,4
1,Bakery,2023-05-04,1.469626168224299,26,1.5,5
1,Bakery,2023-05-12,2.3384615384615386,33,2.289855072463768,8
1,Bakery,2023-05-15,1.7015669515669516,18,1.7015669515669516,0
1,Bakery,2023-05-30,2.0784313725490198,50,2.0784313725490198,11
1,Bakery,2023-06-13,1.1393939393939394,30,1.4375,9
1,Bakery,2023-06-20,1.3888888888888888,57,1.5859106529209623,10
1,Bakery,2023-07-13,1.9918032786885247,56,2.0,15
1,Bakery,2023-07-15,1.183673469387755,39,1.2489795918367346,10
1,Bakery,2023-08-17,1.9612794612794613,66,1.8618618618618619,18
1,Bakery,2023-08-21,1.6571428571428573,37,1.6056338028169015,3
1,Bakery,2023-08-22,0.7767857142857142,40,1.9409937888198758,2
1,Bakery,2023-08-29,1.0571428571428572,52,1.3309948979591837,14
1,Bakery,2023-09-14,1.3275862068965518,87,1.3214285714285714,17
1,Bakery,2023-09-24,1.183673469387755,57,1.2489795918367346,14
1,Bakery,2023-09-26,1.6808510638297873,45,1.7287428273343766,4
1,Bakery,2023-09-29,1.3414634146341464,97,1.3975903614457832,21
1,Bakery,2023-09-30,1.1818181818181819,47,1.6392301392301392,8
1,Bakery,2023-10-03,1.945945945945946,81,1.8333333333333333,22
1,Bakery,2023-10-04,1.9473319473319473,82,1.8888888888888888,23
1,Bakery,2023-10-20,0.7781862745098038,48,1.8260869565217392,4
1,Bakery,2023-10-28,1.6689969604863224,52,1.6056338028169015,5
1,Bakery,2023-11-02,1.9541569541569541,96,1.972972972972973,28
1,Bakery,2023-11-05,1.3513513513513513,99,1.3323560767590619,20
1,Bakery,2023-11-06,1.3535539215686274,108,1.3975903614457832,23
1,Bakery,2023-11-09,1.9473319473319473,98,1.945945945945946,29
1,Bakery,2023-11-22,1.3693910256410255,116,1.4285714285714286,25
1,Bakery,2023-11-27,1.6571428571428573,57,1.6056338028169015,7
