store_id,category,date,units_sold,opened_date,effective_opened_date,is_active_train_day,item_id,neighborhood_type,dow_num,baseline_store_category_dow_median,event_type_norm,event_lift_ratio
1,Bakery,2023-05-01,94,2019-12-21,2023-01-01,True,1_Bakery,university,0,29.0,sports,3.0
1,Bakery,2023-05-15,86,2019-12-21,2023-01-01,True,1_Bakery,university,0,29.0,music_festival,2.9655172413793105
1,Bakery,2023-08-21,50,2019-12-21,2023-01-01,True,1_Bakery,university,0,27.0,music_festival,1.8518518518518519
1,Bakery,2023-11-06,40,2019-12-21,2023-01-01,True,1_Bakery,university,0,27.5,market,1.4545454545454546
1,Bakery,2023-11-27,59,2019-12-21,2023-01-01,True,1_Bakery,university,0,28.0,music_festival,2.107142857142857
1,Bakery,2024-01-01,268,2019-12-21,2023-01-01,True,1_Bakery,university,0,28.0,food_festival,3.0
1,Bakery,2024-01-01,268,2019-12-21,2023-01-01,True,1_Bakery,university,0,28.0,food_festival,3.0
1,Bakery,2024-06-17,32,2019-12-21,2023-01-01,True,1_Bakery,university,0,29.0,cultural,1.103448275862069
1,Bakery,2024-10-14,66,2019-12-21,2023-01-01,True,1_Bakery,university,0,27.0,food_festival,2.4444444444444446
1,Bakery,2024-10-28,23,2019-12-21,2023-01-01,True,1_Bakery,university,0,28.0,sports,0.8214285714285714
1,Bakery,2023-03-14,29,2019-12-21,2023-01-01,True,1_Bakery,university,1,24.5,sports,1.183673469387755
1,Bakery,2023-05-30,63,2019-12-21,2023-01-01,True,1_Bakery,university,1,30.0,cultural,2.1
1,Bakery,2023-05-30,63,2019-12-21,2023-01-01,True,1_Bakery,university,1,30.0,food_festival,2.1
1,Bakery,2023-06-13,48,2019-12-21,2023-01-01,True,1_Bakery,university,1,30.0,convention,1.6
1,Bakery,2023-06-20,58,2019-12-21,2023-01-01,True,1_Bakery,university,1,31.5,cultural,1.8412698412698412
1,Bakery,2023-08-22,31,2019-12-21,2023-01-01,True,1_Bakery,university,1,30.0,book_fair,1.0333333333333334
1,Bakery,2023-08-29,32,2019-12-21,2023-01-01,True,1_Bakery,university,1,30.0,convention,1.0666666666666667
1,Bakery,2023-09-26,36,2019-12-21,2023-01-01,True,1_Bakery,university,1,30.0,music_festival,1.2
1,Bakery,2023-10-03,105,2019-12-21,2023-01-01,True,1_Bakery,university,1,30.0,food_festival,3.0
1,Bakery,2023-12-19,41,2019-12-21,2023-01-01,True,1_Bakery,university,1,31.5,market,1.3015873015873016
1,Bakery,2024-02-13,30,2019-12-21,2023-01-01,True,1_Bakery,university,1,32.5,sports,0.9230769230769231
1,Bakery,2024-02-20,51,2019-12-21,2023-01-01,True,1_Bakery,university,1,32.0,market,1.59375
1,Bakery,2024-06-25,31,2019-12-21,2023-01-01,True,1_Bakery,university,1,31.0,book_fair,1.0
1,Bakery,2024-08-27,56,2019-12-21,2023-01-01,True,1_Bakery,university,1,30.0,convention,1.8666666666666667
1,Bakery,2024-10-29,35,2019-12-21,2023-01-01,True,1_Bakery,university,1,30.0,cultural,1.1666666666666667
1,Bakery,2023-04-05,37,2019-12-21,2023-01-01,True,1_Bakery,university,2,28.0,cultural,1.3214285714285714
1,Bakery,2023-10-04,97,2019-12-21,2023-01-01,True,1_Bakery,university,2,27.0,food_festival,3.0
1,Bakery,2023-11-22,54,2019-12-21,2023-01-01,True,1_Bakery,university,2,28.5,market,1.894736842105263
1,Bakery,2024-01-10,45,2019-12-21,2023-01-01,True,1_Bakery,university,2,28.0,cultural,1.6071428571428572
1,Bakery,2024-05-15,52,2019-12-21,2023-01-01,True,1_Bakery,university,2,29.0,sports,1.793103448275862
1,Bakery,2024-06-12,22,2019-12-21,2023-01-01,True,1_Bakery,university,2,29.0,food_festival,0.7586206896551724
1,Bakery,2024-06-19,31,2019-12-21,2023-01-01,True,1_Bakery,university,2,28.5,market,1.087719298245614
