timestamp,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,precipitation_hours,rain_flag,heavy_rain_flag,hot_day_flag,cool_day_flag,humid_day_flag
2023-01-01,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-02,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-03,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-04,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-05,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-06,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-07,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-08,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-09,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-10,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-11,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-12,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-13,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-14,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-15,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-16,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-17,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-18,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-19,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-20,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-21,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-22,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-23,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-24,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-25,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-26,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-27,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-28,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-29,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-30,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-01-31,26.7,32.0,21.8,66,0.2903225806451613,0.03225806451612903,1,0,0,0,0
2023-02-01,28.2,33.0,23.4,69,0.7142857142857143,0.07142857142857142,1,0,1,0,0
2023-02-02,28.2,33.0,23.4,69,0.7142857142857143,0.07142857142857142,1,0,1,0,0
2023-02-03,28.2,33.0,23.4,69,0.7142857142857143,0.07142857142857142,1,0,1,0,0
