timestamp,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,precipitation_hours,rain_flag,heavy_rain_flag,hot_day_flag,cool_day_flag,humid_day_flag,is_month_end_salary_window,is_civil_servant_payday,is_pension_payday,is_any_salary_payday,days_since_gov_payday,days_until_gov_payday,post_payday_3d,pre_payday_3d,external_public_holiday_flag,new_year_countdown_flag,ptt_vs_bangchak_gasohol95_diff,ptt_vs_bangchak_gasohol91_diff,ptt_vs_bangchak_gasohol_e20_diff,ptt_vs_bangchak_diesel_diff,ptt_vs_bangchak_premium_diesel_diff,ptt_fuel_price_index,bangchak_fuel_price_index,ptt_vs_bangchak_fuel_index_diff,ptt_fuel_price_index_change_1d,ptt_fuel_price_index_ma7,ptt_fuel_price_index_volatility_7d,bangchak_fuel_price_index_change_1d,bangchak_fuel_price_index_ma7,bangchak_fuel_price_index_volatility_7d
2023-01-01,26.7,32.0,21.8,66,0.2903225806451613,0.032258064516129,1,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02,26.7,32.0,21.8,66,0.2903225806451613,0.032258064516129,1,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03,26.7,32.0,21.8,66,0.2903225806451613,0.032258064516129,1,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,26.7,32.0,21.8,66,0.2903225806451613,0.032258064516129,1,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-05,26.7,32.0,21.8,66,0.2903225806451613,0.032258064516129,1,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-06,26.7,32.0,21.8,66,0.2903225806451613,0.032258064516129,1,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-07,26.7,32.0,21.8,66,0.2903225806451613,0.032258064516129,1,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-08,26.7,32.0,21.8,66,0.2903225806451613,0.032258064516129,1,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-09,26.7,32.0,21.8,66,0.2903225806451613,0.032258064516129,1,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-10,26.7,32.0,21.8,66,0.2903225806451613,0.032258064516129,1,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-11,26.7,32.0,21.8,66,0.2903225806451613,0.032258064516129,1,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-12,26.7,32.0,21.8,66,0.2903225806451613,0.032258064516129,1,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-13,26.7,32.0,21.8,66,0.2903225806451613,0.032258064516129,1,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-14,26.7,32.0,21.8,66,0.2903225806451613,0.032258064516129,1,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-15,26.7,32.0,21.8,66,0.2903225806451613,0.032258064516129,1,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-16,26.7,32.0,21.8,66,0.2903225806451613,0.032258064516129,1,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-17,26.7,32.0,21.8,66,0.2903225806451613,0.032258064516129,1,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-18,26.7,32.0,21.8,66,0.2903225806451613,0.032258064516129,1,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-19,26.7,32.0,21.8,66,0.2903225806451613,0.032258064516129,1,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-20,26.7,32.0,21.8,66,0.2903225806451613,0.032258064516129,1,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-21,26.7,32.0,21.8,66,0.2903225806451613,0.032258064516129,1,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-22,26.7,32.0,21.8,66,0.2903225806451613,0.032258064516129,1,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-23,26.7,32.0,21.8,66,0.2903225806451613,0.032258064516129,1,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-24,26.7,32.0,21.8,66,0.2903225806451613,0.032258064516129,1,0,0,0,0,0,0,0,0,31,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
